"p1" "p3" "p4" "p6" "p13" "p16" "p19" "p21" "p23" "p25" "s18" "s19" "s20" "s22" "s23" "s25" "s27" "s29" "sA" "sB" "sC" "sD" "sE" "sF" "sG" "w22" "w23" "w25" "w27" "w29" "wA" "wB" "wC" "wD"
"123" 0 0 0 0 2.3674 4.6706 78.4643 0 174.279 28.032 119.9022 142.5 5.4288 0 148.0619 113.3428 15.9676 0 32.3952 250.4175 96.363 25.1844 196.0644 97.3914 3.556 0.9311 2.0419 0.4114 0.1612 0 0 3.5784 0.4839 1.3068
"124" 0 0 0 0 0 0 0 0 0 0 43.6008 5.89 5.4288 0 0 0 7.9838 72.8273 0 7.8165 19.35 8.3948 35.698 24.5458 7.112 0 0 0 0 0.3506 0.025 0 0 0
"125" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1392 0 0
"126" 18.0159 216.1875 138.8952 157.0635 186.1524 28.0236 21.0938 369.9087 0 15.552 98.1018 59.47 5.4288 0 336.9515 56.3548 15.9676 0 4.1288 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"127" 0 0 0 0 2.3674 0 0 0 0 0 10.9002 5.89 5.4288 0 0 0 0 0 0 0 0 0 0 0 17.78 0 0 0 0 0 0 0 0 0
"128" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0489 0.1447
"129" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.1288 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"130" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.1288 7.8165 0 0 17.5744 0 0 0 0 0 0 0.1753 0 0 0 0
"131" 0 0 4.1256 2.565 0 0 3.0134 0 0 3.072 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"132" 0 0 0 0 0 0 0 0 0 0 0 0 10.8576 39.2171 40.3358 0 0 0 0 0 0 0 0 24.5458 0 5.6222 3.089 0 0 0 0 0 0 0.2894
"133" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.675 0 0 0 0 0 0 0 0 0 0 0 0 0
"134" 0 0 0 0 0 0 0 0 0 0 10.9002 11.97 16.2864 9.7032 27.0545 0 7.9838 0 4.1288 7.8165 0 0 0 24.5458 0 0 0 0 0 0 0 0 0 0
"135" 0 0 0 0 7.1022 0 30.134 0 14.5908 21.792 65.4012 118.75 326.6328 712.7809 539.1224 659.7944 7.9838 101.7653 0 15.633 9.675 0 107.094 266.8366 35.687 0 0 0 0 0 0 0 0 0
